,instruction,Category
196,i cannot notify of an error with a sign-up,Login and Account
197,i dont know what to do to cancel the platinum account,Login and Account
198,"I have to see order {{Order Number}} status, I need assistance",Order
199,another pro account,Login and Account
200,I don't know what to do to cancel purchase {{Order Number}},Order
201,open premium account for wife,Login and Account
202,I try to make an order,Order
203,checking invoices from {{Person Name}},Shipping
204,I try to check at what time I can call customer service,Warranty
205,cancel order {{Order Number}},Order
206,"I want to see the cancellation fees, I need assistance",Cancellations and returns
207,I'm trying to see the rebate current status,Cancellations and returns
208,I want help canceling order {{Order Number}},Order
209,hwere to see the ETA of the order {{Order Number}},Order
210,I need supports trying to modify the address,Shipping
211,where to buy some of your article?,Order
212,I need information about the cancellation of a {{Account Type}} account,Login and Account
213,can you help me check the cancellation charges?,Cancellations and returns
214,help me see how soon can I expect the article,Shipping
215,could uhelp me correct order {{Order Number}},Order
216,changing to {{Account Category}} account,Login and Account
217,"I made a mistake, I want help editing order {{Order Number}}",Order
218,assistance receiving the company newsletter,Login and Account
219,see invoice #37777,Shipping
220,I am trying to order a few of your  product,Order
221,I need assistance to earn some articles,Order
222,can ya help me report an issue with signup,Login and Account
223,check order {{Order Number}} status,Order
224,help me file a complaint against your organization,Shopping
225,where do I shop several products?,Order
226,where do I recover the PIN of my account?,Login and Account
227,how can i check the current status of my restitution,Cancellations and returns
228,when am I getting a rebate?,Cancellations and returns
229,help me see when my damn article is going to arrive,Shipping
230,editing data on premium account,Login and Account
231,I try to speak with an operator,Warranty
232,i dont know how i could correct the address,Shipping
233,how could I edit my damn user?,Login and Account
234,help me to talk to an operator,Warranty
235,I am trying to see the accepted payment options,Order
236,i need help to add a product to order {{Order Number}},Order
237,I am trying to find information about my password recovery,Login and Account
238,I don't know how I could check my bill from {{Person Name}},Shipping
239,"I would like to list the payment methods, how to do it?",Order
240,help me seeing what payment options you accept,Order
241,I have to unsubscribe to your newsletter,Login and Account
242,i need help tolist ur goddamn available payment modalities,Order
243,I'm trying to check the payment modalities,Order
244,I don't know how to inform of problems with a signup,Login and Account
245,I have problems with cancelling purchase {{Order Number}},Order
246,edit purchase {{Order Number}},Order
247,i have got to swap  an item of order {{Order Number}},Order
248,how do i check when my purchase is gonna arrive,Shipping
249,where could I request refunds?,Cancellations and returns
250,wanna see ur accepted payment options can ya help me,Order
251,I have to check if there is anything new on the restitution,Cancellations and returns
252,how do i find bill #12588,Shipping
253,I do not know how I can see the status of order {{Order Number}},Order
254,assistance to check youe money back guarantee,Cancellations and returns
255,can you help me get my invoice #85632?,Shipping
256,assistancesolving a trouble with payment,Order
257,how to talk with customer service?,Warranty
258,I am trying to cancel a freemium account,Login and Account
259,where to edit my delivery address?,Shipping
260,I need help creating a premium account for my daughter,Login and Account
261,mail me the bills from {{Person Name}},Shipping
262,where to download my bills from {{Person Name}}?,Shipping
263,want assistance to make a claim,Shopping
264,updating info on {{Account Category}} account,Login and Account
265,"I need to list your allowed payment options, how do I do it?",Order
266,help me to see the damn bills from {{Person Name}},Shipping
267,uhave an address to submit an opinion about a product,Shopping
268,could you help me see what methods for delivery are there?,Shipping
269,how do I check my bill from {{Person Name}}?,Shipping
270,where do I check when will my purchase arrive?,Shipping
271,I need help to see what hours I can reach customer support,Warranty
272,i need assistance creating a {{Account Type}} account,Login and Account
273,"I can't pay, I need to notify of a problem with payments",Order
274,i want asistance to check the damn ETA of order {{Order Number}},Order
275,where do I see the ETA of the order {{Order Number}}?,Order
276,I have problems correcting my address,Shipping
277,can i check thew status of my newsletter subscription,Login and Account
278,"I paid {{Currency Symbol}}{{Refund Amount}} for an order, can you help me receive a rebate?",Cancellations and returns
279,how can I purchase a few of your product?,Order
280,"I want to check my restitution status, I need help",Cancellations and returns
281,I can't retrieve my account PIN,Login and Account
282,I want help to check if there are any news on the refund,Cancellations and returns
283,I need assistance to correct my delivery address,Shipping
284,i need assistance to talk to a human agent,Warranty
285,I'm trying to speak to a live agent,Warranty
286,i cannot track purchase {{Order Number}},Order
287,I have problems editing the shipping address,Shipping
288,"I have got to acquire several articles, can I get some help?",Order
289,problem with the deletion of a {{Account Category}} account,Login and Account
290,i want help to delete a product from order {{Order Number}},Order
291,i have to acquire some articles,Order
292,help me to contact an ooperator,Warranty
293,there is a problem submitting the fucking shipping address,Shipping
294,wanna submit some feedback for a service how can i do it,Shopping
295,how do I notify of a signup problem?,Login and Account
296,i want assistance requesting reimbursements,Cancellations and returns
297,what do i have to do to download my invoice #12588,Shipping
298,editting details on platinum account,Login and Account
299,want help checking ur reimbursement policy,Cancellations and returns
300,I need help speaking with customer support,Warranty
301,i do not know whst to do to shop a few of ur item,Order
302,unsubscribe to company newsletter,Login and Account
303,I have troubles trying to update my address,Shipping
304,how to make an reclamation against your company?,Shopping
305,i want help to check in what cases can i ask for a reufnd,Cancellations and returns
306,can you help me check in which cases can I ask for a refund?,Cancellations and returns
307,can ya help me notifying of an issue with a sign-up,Login and Account
308,I want help to see the ETA of the purchase {{Order Number}},Order
309,"I paid {{Currency Symbol}}{{Refund Amount}} for these items, where can I receive a refund?",Cancellations and returns
310,i need assistance informing of an issue with online payments,Order
311,show me how long it takes for my parcel to arrive,Shipping
312,how could I use the {{Account Type}} profile?,Login and Account
313,edit gold account,Login and Account
314,i need help to see what hours customer support azvailable is,Warranty
315,tell me more abou editing my address,Shipping
316,shipmetns to {{Delivery City}},Shipping
317,want help seeing the refund status,Cancellations and returns
318,modifying data on {{Account Category}} account,Login and Account
319,can i see what hours customer support availabl is,Warranty
320,I want assistance purchasing a few of your product,Order
321,I have a question about a shipping address change,Shipping
322,how can i add an item to purchase {{Order Number}},Order
323,I don't know what I have to do to earn a few of your item,Order
324,shipping to {{Delivery City}},Shipping
325,I have got to inform of signup issues,Login and Account
326,can you help me to notify of errors with payment?,Order
327,I am trying to check your bloody reimbursement policy,Cancellations and returns
328,need assistance to correct my address,Shipping
329,how to see order {{Order Number}} current status?,Order
330,"I need to edit my bloody user, will you help me?",Login and Account
331,help me obtaining a compensation of money,Cancellations and returns
332,i have got to locate order {{Order Number}},Order
333,"I would like to edit purchase {{Order Number}}, how could I do it?",Order
334,i do not know how i can open a pro account for my fiance,Login and Account
335,what do I need to do to recover the pwd of my profile?,Login and Account
336,can you help me to talk to a human agent?,Warranty
337,"I want to file a damn consumer claim, how can I do it?",Shopping
338,in what cases can I request the bloody reimbursements?,Cancellations and returns
339,I do not know what to do to switch to the {{Account Category}} account,Login and Account
340,I'm trying to see at what time customer support available is,Warranty
341,could I see the goddamn available payment methods?,Order
342,I want help to report registration errors,Login and Account
343,i do not know how i can ese the termination charges,Cancellations and returns
344,modify details on {{Account Category}} account,Login and Account
345,"I have got to see your money back policy, how can I do it?",Cancellations and returns
346,how do I check what hours I can call customer support?,Warranty
347,i have to check in what cases can i ask for refunds,Cancellations and returns
348,help me to see what hours customer support available is,Warranty
349,I want help to see the payment methods,Order
350,what do i need to do to get in touch with customer service,Warranty
351,edit ordr {{Order Number}},Order
352,need help to see the ETA of the order {{Order Number}},Order
353,i call to leave my feedback for ur services,Shopping
354,I try to see the termination fee,Cancellations and returns
355,"I expect a fucking ocmpensation of {{Currency Symbol}}{{Refund Amount}}, was it processed",Cancellations and returns
356,what do I have to do to check your reimbursement policy?,Cancellations and returns
357,I have got to see the early exit penalpties,Cancellations and returns
358,help me order some of your product,Order
359,"I no longer want order {{Order Number}}, how do I cancel it?",Order
360,"I want to reset the bloody key of my user, will you help me?",Login and Account
361,need help to set up my secondary delivery address,Shipping
362,is it possible to see the witdrawal penalties,Cancellations and returns
363,help speaking with customer support,Warranty
364,I have a problem with canceling purchase {{Order Number}},Order
365,"I have got to download bill #00108, how do I do it?",Shipping
366,I habe got to file a complaint,Shopping
367,help me to unsubscribe from the company newsletter,Login and Account
368,"I have paid {{Currency Symbol}}{{Refund Amount}} for an item, help to receive my money back",Cancellations and returns
369,how to make a damn customer claim against your business?,Shopping
370,"I need to unsubscribe from your newsletter, how can I do it?",Login and Account
371,shipping to {{Delivery City}},Shipping
372,i have a question about the termination of a standard acount,Login and Account
373,assistance to set my new shipping address up,Shipping
374,modify {{Account Type}} account,Login and Account
375,modify information on freemium account,Login and Account
376,"I have got to change to the {{Account Category}} account, I need help",Login and Account
377,what do I need to do to see what delivery options you offer?,Shipping
378,"I want to get the goddamn bill from {{Person Name}}, help me",Shipping
379,i  have to report troubles with online payments,Order
380,changing details on freemium account,Login and Account
381,I don't know how to leave a comment about a product,Shopping
382,how to unsubscribe from ur company newsletter,Login and Account
383,show early termination charge,Cancellations and returns
384,ihave to locate purchase {{Order Number}} help me,Order
385,I do not know what I have to do to change to the pro account,Login and Account
386,mldifying pro account,Login and Account
387,i do not know how i can leave some feedback for ur company,Shopping
388,correct order {{Order Number}},Order
389,what do I have to do to check the cancellation charges?,Cancellations and returns
390,I'm waiting for a damn refund of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
391,i need assistance checkign ur allowed payment methods,Order
392,reporting trouble with online payment,Order
393,"I lost the access key of my user profile, help to recover it",Login and Account
394,I am calling to make an customer claim against your company,Shopping
395,i have a question about the removal of my {{Account Type}} account,Login and Account
396,I want help seeing if there is anything wrong with my refund,Cancellations and returns
397,I want assistance to see your money back guarantee,Cancellations and returns
398,editing data on freemium account,Login and Account
399,i have got to restore my user acxcount pin code,Login and Account
400,i ned help to talk to an operator,Warranty
401,"I want to check the shipping options, can I get some help?",Shipping
402,help me to see what hours I can contact customer service,Warranty
403,I need to update my address,Shipping
404,how do I enter a secondary delivery address?,Shipping
405,I want assistance to download myinvoice #85632,Shipping
406,I do not know how to restore my user PIN code,Login and Account
407,I can't enter my fucking delivery address,Shipping
408,i dont know what i have to do to receive thenewsletter,Login and Account
409,want assistance to find the bills from {{Person Name}},Shipping
410,what do I have to do to buy several damn articles?,Order
411,"I want to check your money back guarantee, I need help",Cancellations and returns
412,what do I have to do to cancel my {{Account Category}} acdcount?,Login and Account
413,i do not know what to do to shop several of ur item,Order
414,can i place an order from {{Delivery City}},Shipping
415,help to lodge a customer reclamation against your company,Shopping
416,i dont know how to inform of an issue with payments,Order
417,change to standard account,Login and Account
418,support setting up my delivery address,Shipping
419,correcting details on {{Account Category}} account,Login and Account
420,can uhelp me cancelling order {{Order Number}},Order
421,I need assistance to leave a review about your products,Shopping
422,is it possible to get in touch with customer assistance?,Warranty
423,assistance subscribing to your newsletter,Login and Account
424,help me editingorder {{Order Number}},Order
425,"I have to download bill #12588, I need help",Shipping
426,closing {{Account Type}} account,Login and Account
427,can I place an order from {{Delivery Country}}?,Shipping
428,I do not know what I need to do to demand a refund,Cancellations and returns
429,I have got to see in which cases can I request my money back,Cancellations and returns
430,I needassistance sending some feedback about your company,Shopping
431,"I would like to subscribe to your newsletter, how to do it?",Login and Account
432,where can I see how long it takes for my delivery to arrive?,Shipping
433,have a question about canceling order {{Order Number}},Order
434,would it be possible to edit the information on my account?,Login and Account
435,I need assistance to retrieve the password of my account,Login and Account
436,i want assistance to find my invoice #85632,Shipping
437,what do I have to do to checkhow soon can I expect my order?,Shipping
438,help to purchase a few of your item,Order
439,I need assistance cancelling my standard account,Login and Account
440,i need assistance to check the eta of the order {{Order Number}},Order
441,is there a method to submit a review for ur company,Shopping
442,opening new pro account for daughter,Login and Account
443,can uhelp me to talk to a person,Warranty
444,help to check in which situations can I ask for refunds,Cancellations and returns
445,speak to assistant,Warranty
446,do you shp to {{Delivery City}}?,Shipping
447,opening new freemium account for daughter,Login and Account
448,I am trying to find information about a {{Account Type}} account removal,Login and Account
449,i dont know how i can contact customer service,Warranty
450,wanna ask for a restutution of my money,Cancellations and returns
451,can I place an order from {{Delivery Country}}?,Shipping
452,how to set the delivery address up?,Shipping
453,I am trying to cancel order {{Order Number}},Order
454,i have to check the invoice #37777,Shipping
455,help to cancel purchase {{Order Number}},Order
456,I have a question about the deletion of my standard account,Login and Account
457,need help to get a copmpensation of money,Cancellations and returns
458,I'm trying to check ur payment modalitise,Order
459,I try to locate my invoice #00108,Shipping
460,help to see at what time i can reach customer support,Warranty
461,can you help me opening a pro account?,Login and Account
462,trouble entering my new shipping address,Shipping
463,can ya help mereceive ur company newsletter,Login and Account
464,i want help to see when will my item arrive,Shipping
465,help me getting reimbursements of my money,Cancellations and returns
466,i try to remove some items from order {{Order Number}},Order
467,can you help me check how soon can I expect the shipment?,Shipping
468,getting invoices from {{Person Name}},Shipping
469,i do not know what i need to do to switch to the {{Account Type}} account,Login and Account
470,I need assistance to see the available payment modalities,Order
471,help to see at what time customer service available is,Warranty
472,creating new {{Account Category}} account,Login and Account
473,help me to file a customer claim gaainst your organization,Shopping
474,I want assistance filing a customer claim,Shopping
475,"I have got to write a comment about a product, help me",Shopping
476,want help seeing the early termination fee,Cancellations and returns
477,help me create a {{Account Category}} account,Login and Account
478,"I have to set a shipping address up, how can I do it?",Shipping
479,I do not know how to set a secondary shippung address up,Shipping
480,could you help me to check your payment modalities?,Order
481,help me to check the withdrawal charges,Cancellations and returns
482,i need assistance acquiring several items,Order
483,were to check order {{Order Number}} current status,Order
484,I don't know how I can speak to an agent,Warranty
485,where to make a consumer claim?,Shopping
486,I don't know how I can acquire an articoe,Order
487,question about cancelling purchase {{Order Number}},Order
488,need help obtaining rebates,Cancellations and returns
489,change info on {{Account Type}} account,Login and Account
490,chnaging order {{Order Number}},Order
491,can uhelp me locating order {{Order Number}},Order
492,can uhelp me to leave some feedback,Shopping
493,i have to see what payment options are allowed,Order
494,want assistance to inform of registration problems,Login and Account
495,what do i need to do to see order {{Order Number}} status,Order
496,i have to request a compensation of my money,Cancellations and returns
497,is it possible to enter a new shipping address?,Shipping
498,"I need to unsubscribe from the fucking newsletter, help me",Login and Account
499,I try to ask fopr a refund of my money,Cancellations and returns
500,supports editing the delivery address,Shipping
501,help me check the early termination penalty,Cancellations and returns
502,"I have got to report an issue with a signup, I need help",Login and Account
503,i have to check if there are any news on the restitution,Cancellations and returns
504,is it possible to use the bloody standard profile?,Login and Account
505,how can I switch an article of purchase {{Order Number}}?,Order
506,d uship to {{Delivery City}},Shipping
507,can you help me seeing the methods for shipping?,Shipping
508,wanna list ur available payment methods,Order
509,can you help me changing to the goddamn freemium account?,Login and Account
510,could you show me in which situations can I request refunds?,Cancellations and returns
511,I am trying to obtain rebates of my money,Cancellations and returns
512,where do I list the available payment options?,Order
513,have problems with a shipping address update,Shipping
514,i have a problem with the cancellation of my {{Account Category}} account,Login and Account
515,help sending feedback for your company,Shopping
516,I cannot enter a new delivery address,Shipping
517,I have got to sign up to the corporate newsletter,Login and Account
518,I'm waiting for a reimbursement of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
519,I need help to ask for a rebate of my money,Cancellations and returns
520,I have got to delete a damn product from purchase {{Order Number}},Order
521,I am waiting for a reimbursement of {{Refund Amount}} dollars,Cancellations and returns
522,I try to subscribe to the newsletter,Login and Account
523,how can I see what delivery options you offer?,Shipping
524,get invoice from nine months ago,Shipping
525,where do i create a new fucking standard account,Login and Account
526,show me what shipping options you offer,Shipping
527,assistance checking the early exit fee,Cancellations and returns
528,I do not know how I can see the withdrawal fee,Cancellations and returns
529,help me request compensations,Cancellations and returns
530,i need help gettng bill #00108,Shipping
531,want assistance checking the cancellation fees,Cancellations and returns
532,what do I have to do to receive a rebate of money?,Cancellations and returns
533,help me to talk to a live agent,Warranty
534,where can I see the withdrawal charges?,Cancellations and returns
535,I  do not know how to check when will my product arrive,Shipping
536,get invoices from {{Person Name}},Shipping
537,I need to speak with a live agent,Warranty
538,I am waiting for a rebate of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
539,"I have got to locate purchase {{Order Number}}, I need help",Order
540,need help cancelling purchase {{Order Number}},Order
541,I am waiting for a refund of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
542,I want help filing a reclamation,Shopping
543,need assistance seeing when my shipment is gonna arrive,Shipping
544,modifying ingormation on platinum account,Login and Account
545,I do not know how I can correct my shgipping address,Shipping
546,assistance talking to an agent,Warranty
547,want help solving a problem with payments,Order
548,where to see at what time customer assistance available is?,Warranty
549,where can I buy a product?,Order
550,updating address,Shipping
551,i want help unsubscribnig from ur corporate newsletter,Login and Account
552,I want help to see your refund policy,Cancellations and returns
553,"I would like to talk with customer support, how do I do it?",Warranty
554,i want help to see the rebate status,Cancellations and returns
555,I am trying to notify of issues with registrations,Login and Account
556,can you help me restoring the password of my account?,Login and Account
557,I expect a rebate of {{Refund Amount}} dollars,Cancellations and returns
558,update details on pro account,Login and Account
559,i have got to purchase sone articles,Order
560,"I have got to locate order {{Order Number}}, can I get some help?",Order
561,how do I check my bill from {{Person Name}}?,Shipping
562,help me to do a purchase,Order
563,how to inform of an issue wsith a sign-up?,Login and Account
564,I want help to check the early termination penalties,Cancellations and returns
565,I do not know how I ca cancel order {{Order Number}},Order
566,wanna reeive restitutions of my money,Cancellations and returns
567,i have to notify of issues with payments,Order
568,assistance to inform of an issue with registrations,Login and Account
569,is it possible to cancel the newsletter subscription,Login and Account
570,i dont know what i have to do to get the invoice #12588,Shipping
571,editting details on standard account,Login and Account
572,"I want to see how long refunds take, how to do it?",Cancellations and returns
573,need assistance to sign up to the newsletter,Login and Account
574,how to make a customer claim against your business?,Shopping
575,want help making a claim against ur organization,Shopping
576,update data on freemium account,Login and Account
577,where can I get a reimbursement?,Cancellations and returns
578,can i get in touch with customer support,Warranty
579,whzt do i need to do to ask for reimbursements of money,Cancellations and returns
580,I need a user,Login and Account
581,I need assistance to switch to a new account,Login and Account
582,help me entering another delivery address,Shipping
583,i cannot rettrieve my damn user pass,Login and Account
584,I need assistance closing a freemium account,Login and Account
585,correcting information on {{Account Type}} account,Login and Account
586,can I swap an itm of purchase {{Order Number}}?,Order
587,I need assistance to check when will my article arrive,Shipping
588,i  want help to switch to the standard account,Login and Account
589,"I want to list the allowed payment methods, how to do it?",Order
590,"I want to see what shipment options I can choose, help me",Shipping
591,what is the customer service mail,Warranty
592,assistance seeing what shipment options are available,Shipping
593,I have to send some damn feedback about a service,Shopping
594,have a problem with opening a {{Account Category}} acount,Login and Account
595,"I want to submit my new delivery address, can you help me?",Shipping
596,problems setting up my secondary delivery address,Shipping
597,have a problem with platinum account deletions,Login and Account
598,I need help changing to the platinum account,Login and Account
599,can you help me notify of a registration issue?,Login and Account
600,can ushow me ur allowed payment options,Order
601,do you ship  to {{Delivery Country}}?,Shipping
602,assistance to leave some feedback about a service,Shopping
603,I need help to see how soon can I expect the damn item,Shipping
604,"I need to shop a few of your product, how can I do it?",Order
605,getting bill from {{Person Name}},Shipping
606,i want help to restor my pwd,Login and Account
607,can you help me getting the invoices from {{Person Name}}?,Shipping
608,I want a {{Account Type}} account,Login and Account
609,cancel pro acount,Login and Account
610,I do not know what I have to do to look for the bill #12588,Shipping
611,how to switch a product of order {{Order Number}}?,Order
612,checkmy invoice #37777,Shipping
613,i do not understand anything ya say direct tome someone,Warranty
